Status,Ticket ID,Priority,Source,Topic,Agent Group,Agent Name,Created time,Expected SLA to resolve,Expected SLA to first response,First response time,SLA For first response,Resolution time,SLA For Resolution,Close time,Agent interactions,Survey results,Product group,Support Level,Country,Latitude,Longitude
in progress,1729,high,email,product setup,1st line support,nicola wane,2023-03-31 22:38:17,2023-04-02 22:38:17,2023-03-31 23:38:17,2023-03-31 22:59:12.068,within sla,,sla violated,,1.0,,ready to use software,tier 1,bulgaria,42.7249925,25.4833039
in progress,1730,medium,chat,product setup,2nd line support,adolpho messingham,2023-04-01 04:42:45,2023-04-02 04:42:45,2023-04-01 04:44:45,2023-04-01 04:44:37.582,within sla,,sla violated,,7.0,,custom software development,tier 2,poland,52.536273,19.050639
resolved,1731,low,email,feature request,1st line support,sheela cutten,2023-04-01 19:34:47,2023-04-03 19:34:47,2023-04-01 20:34:47,2023-04-01 20:12:35.353,within sla,2023-04-03 01:12:34.416,within sla,2023-04-03 01:12:34.416,2.0,,other,tier 1,germany,51.165691,10.451526
in progress,1732,low,email,training request,1st line support,nicola wane,2023-04-01 19:44:41,2023-04-03 19:44:41,2023-04-01 20:44:41,2023-04-02 00:46:44.186,sla violated,,sla violated,,6.0,,training and consulting services,tier 1,greece,39.368279,21.863141
closed,1733,medium,email,pricing and licensing,1st line support,sheela cutten,2023-04-01 19:19:16,2023-04-03 19:19:16,2023-04-01 20:19:16,2023-04-01 20:07:01.262,within sla,2023-04-02 13:38:27.908,within sla,2023-04-05 08:00:48.234,4.0,2.0,other,tier 1,slovenia,46.1491664,14.9860106
closed,1748,low,chat,feature request,2nd line support,adolpho messingham,2023-04-02 15:10:55,2023-04-03 15:10:55,2023-04-02 15:12:55,2023-04-02 15:15:53.620,sla violated,2023-04-05 16:34:21.780,sla violated,2023-04-07 14:40:32.430,6.0,3.0,custom software development,tier 2,czech republic,49.8037633,15.4749126
in progress,1749,medium,phone,purchasing and invoicing,1st line support,kristos westoll,2023-04-02 04:44:24,2023-04-04 04:44:24,2023-04-02 04:46:24,2023-04-02 04:45:00.222,within sla,,sla violated,,1.0,,other,tier 1,germany,51.165691,10.451526
resolved,1750,low,phone,pricing and licensing,1st line support,sheela cutten,2023-04-02 16:03:14,2023-04-04 16:03:14,2023-04-02 16:05:14,2023-04-02 16:03:59.045,within sla,2023-04-06 10:28:20.097,sla violated,2023-04-06 10:28:20.097,4.0,,custom software development,tier 1,italy,43.036776,12.678565
resolved,1751,high,email,product setup,2nd line support,adolpho messingham,2023-04-02 15:53:36,2023-04-04 15:53:36,2023-04-02 16:53:36,2023-04-02 16:17:30.401,within sla,2023-04-03 18:13:23.994,within sla,2023-04-03 18:13:23.994,2.0,,other,tier 2,poland,52.536273,19.050639
closed,1752,low,chat,pricing and licensing,1st line support,sheela cutten,2023-04-02 23:30:34,2023-04-03 23:30:34,2023-04-02 23:32:34,2023-04-02 23:35:25.271,sla violated,2023-04-03 20:34:51.272,within sla,2023-04-04 15:18:58.166,6.0,4.0,custom software development,tier 1,germany,51.165691,10.451526
closed,1753,low,email,pricing and licensing,2nd line support,heather urry,2023-04-03 05:55:15,2023-04-05 05:55:15,2023-04-03 06:55:15,2023-04-03 06:06:33.922,within sla,2023-04-04 16:03:04.929,within sla,2023-04-09 19:16:42.492,5.0,4.0,ready to use software,tier 2,austria,47.6964719,13.3457347
closed,1754,medium,chat,bug report,1st line support,connor danielovitch,2023-04-03 00:18:01,2023-04-04 00:18:01,2023-04-03 00:20:01,2023-04-03 00:19:47.847,within sla,2023-04-03 09:32:50.386,within sla,2023-04-05 01:39:23.773,3.0,5.0,ready to use software,tier 1,spain,39.67337,-4.767726
closed,1755,high,email,product setup,1st line support,sheela cutten,2023-04-03 04:51:54,2023-04-05 04:51:54,2023-04-03 05:51:54,2023-04-03 05:44:07.647,within sla,2023-04-04 18:05:12.020,within sla,2023-04-07 10:02:06.721,8.0,5.0,ready to use software,tier 1,poland,52.536273,19.050639
resolved,1756,low,email,product setup,1st line support,bernard beckley,2023-04-03 05:19:08,2023-04-05 05:19:08,2023-04-03 06:19:08,2023-04-03 05:47:52.792,within sla,2023-04-04 09:47:28.263,within sla,2023-04-04 09:47:28.263,2.0,,other,tier 1,germany,51.165691,10.451526
in progress,1757,high,chat,product setup,1st line support,kristos westoll,2023-04-03 07:05:23,2023-04-04 07:05:23,2023-04-03 07:07:23,2023-04-03 07:05:26.004,within sla,,sla violated,,7.0,,ready to use software,tier 1,austria,47.6964719,13.3457347
closed,1759,low,chat,feature request,1st line support,bernard beckley,2023-04-03 17:17:33,2023-04-04 17:17:33,2023-04-03 17:19:33,2023-04-03 17:18:17.892,within sla,2023-04-04 14:06:49.476,within sla,2023-04-06 04:50:03.120,6.0,3.0,custom software development,tier 1,austria,47.6964719,13.3457347
closed,1761,low,email,other,1st line support,sheela cutten,2023-04-04 13:34:57,2023-04-06 13:34:57,2023-04-04 14:34:57,2023-04-04 20:15:59.898,sla violated,2023-04-05 02:47:10.683,within sla,2023-04-06 09:45:39.852,2.0,4.0,custom software development,tier 1,austria,47.6964719,13.3457347
closed,1762,low,chat,product setup,1st line support,kristos westoll,2023-04-04 22:42:38,2023-04-05 22:42:38,2023-04-04 22:44:38,2023-04-04 22:44:33.326,within sla,2023-04-06 16:31:45.536,sla violated,2023-04-06 18:42:09.362,6.0,3.0,ready to use software,tier 1,france,48.864716,2.349014
resolved,1763,low,chat,bug report,1st line support,kristos westoll,2023-04-04 12:31:49,2023-04-05 12:31:49,2023-04-04 12:33:49,2023-04-04 12:36:46.201,sla violated,2023-04-05 02:55:34.212,within sla,2023-04-05 02:55:34.212,6.0,,ready to use software,tier 1,poland,52.536273,19.050639
closed,1764,low,chat,bug report,1st line support,bernard beckley,2023-04-04 08:56:01,2023-04-05 08:56:01,2023-04-04 08:58:01,2023-04-04 08:57:43.259,within sla,2023-04-04 18:34:43.842,within sla,2023-04-11 13:23:00.322,5.0,4.0,training and consulting services,tier 1,austria,47.6964719,13.3457347
resolved,1765,low,chat,pricing and licensing,2nd line support,heather urry,2023-04-04 11:05:30,2023-04-05 11:05:30,2023-04-04 11:07:30,2023-04-04 11:05:38.316,within sla,2023-04-05 01:55:44.008,within sla,2023-04-05 01:55:44.008,6.0,,ready to use software,tier 2,united kingdom,55.378052,-3.435973
closed,1766,low,email,other,2nd line support,michele whyatt,2023-04-05 02:02:11,2023-04-07 02:02:11,2023-04-05 03:02:11,2023-04-05 02:51:18.094,within sla,2023-04-05 08:47:58.502,within sla,2023-04-10 05:37:15.775,1.0,4.0,other,tier 2,united kingdom,55.378052,-3.435973
closed,1767,high,chat,product setup,1st line support,connor danielovitch,2023-04-05 10:03:11,2023-04-06 10:03:11,2023-04-05 10:05:11,2023-04-05 10:04:28.180,within sla,2023-04-07 11:19:05.354,sla violated,2023-04-07 19:31:44.116,5.0,3.0,ready to use software,tier 1,poland,52.536273,19.050639
in progress,1768,low,chat,product setup,1st line support,nicola wane,2023-04-05 21:15:23,2023-04-06 21:15:23,2023-04-05 21:17:23,2023-04-05 21:16:40.783,within sla,,sla violated,,8.0,,training and consulting services,tier 1,bulgaria,42.7249925,25.4833039
in progress,1769,low,email,feature request,2nd line support,heather urry,2023-04-05 11:07:48,2023-04-07 11:07:48,2023-04-05 12:07:48,2023-04-05 11:37:02.660,within sla,,sla violated,,3.0,,custom software development,tier 2,germany,51.165691,10.451526
open,1770,medium,email,pricing and licensing,1st line support,nicola wane,2023-04-05 16:27:41,2023-04-07 16:27:41,2023-04-05 17:27:41,,sla violated,,sla violated,,0.0,,ready to use software,tier 1,germany,51.165691,10.451526
closed,1771,high,chat,product setup,1st line support,connor danielovitch,2023-04-05 07:14:31,2023-04-06 07:14:31,2023-04-05 07:16:31,2023-04-05 07:15:05.002,within sla,2023-04-06 02:39:11.419,within sla,2023-04-10 11:50:46.185,4.0,4.0,ready to use software,tier 1,poland,52.536273,19.050639
closed,1772,medium,chat,feature request,1st line support,nicola wane,2023-04-06 03:30:54,2023-04-07 03:30:54,2023-04-06 03:32:54,2023-04-06 03:32:38.347,within sla,2023-04-06 04:31:02.587,within sla,2023-04-10 06:27:41.963,4.0,5.0,ready to use software,tier 1,germany,51.165691,10.451526
resolved,1773,high,email,pricing and licensing,1st line support,sheela cutten,2023-04-06 17:18:15,2023-04-08 17:18:15,2023-04-06 18:18:15,2023-04-06 17:45:14.492,within sla,2023-04-07 07:13:28.117,within sla,2023-04-07 07:13:28.117,8.0,,custom software development,tier 1,italy,43.036776,12.678565
closed,1774,medium,email,bug report,2nd line support,heather urry,2023-04-06 02:59:03,2023-04-08 02:59:03,2023-04-06 03:59:03,2023-04-06 03:39:49.376,within sla,2023-04-07 02:15:49.015,within sla,2023-04-10 20:43:22.970,5.0,4.0,custom software development,tier 2,slovenia,46.1491664,14.9860106
closed,1775,medium,email,product setup,1st line support,connor danielovitch,2023-04-06 18:15:46,2023-04-08 18:15:46,2023-04-06 19:15:46,2023-04-06 19:00:39.845,within sla,2023-04-08 07:58:44.577,within sla,2023-04-11 18:33:56.302,2.0,4.0,ready to use software,tier 1,republic of ireland,53.094024,-8.019675
closed,1777,medium,email,product setup,1st line support,sheela cutten,2023-04-06 04:54:37,2023-04-08 04:54:37,2023-04-06 05:54:37,2023-04-06 05:44:36.797,within sla,2023-04-06 14:47:23.162,within sla,2023-04-13 05:41:34.713,2.0,4.0,other,tier 1,italy,43.036776,12.678565
in progress,1778,medium,email,training request,2nd line support,heather urry,2023-04-06 18:43:11,2023-04-08 18:43:11,2023-04-06 19:43:11,2023-04-06 19:34:18.735,within sla,,sla violated,,4.0,,training and consulting services,tier 2,france,48.864716,2.349014
closed,1779,medium,email,product setup,1st line support,connor danielovitch,2023-04-07 02:13:34,2023-04-09 02:13:34,2023-04-07 03:13:34,2023-04-07 03:01:51.838,within sla,2023-04-08 13:42:13.194,within sla,2023-04-08 22:53:40.684,3.0,3.0,ready to use software,tier 1,bulgaria,42.7249925,25.4833039
resolved,1780,low,chat,product setup,2nd line support,adolpho messingham,2023-04-07 22:19:14,2023-04-08 22:19:14,2023-04-07 22:21:14,2023-04-07 22:24:33.772,sla violated,2023-04-09 11:25:33.590,sla violated,2023-04-09 11:25:33.590,4.0,,ready to use software,tier 2,germany,51.165691,10.451526
in progress,1782,low,email,pricing and licensing,1st line support,nicola wane,2023-04-07 18:21:00,2023-04-09 18:21:00,2023-04-07 19:21:00,2023-04-07 18:39:32.472,within sla,,sla violated,,1.0,,ready to use software,tier 1,germany,51.165691,10.451526
closed,1783,medium,email,feature request,2nd line support,heather urry,2023-04-07 05:02:22,2023-04-09 05:02:22,2023-04-07 06:02:22,2023-04-07 05:18:28.230,within sla,2023-04-07 21:08:59.618,within sla,2023-04-13 14:00:07.175,1.0,1.0,ready to use software,tier 2,slovenia,46.1491664,14.9860106
closed,1784,medium,email,product setup,1st line support,kristos westoll,2023-04-07 07:46:50,2023-04-09 07:46:50,2023-04-07 08:46:50,2023-04-07 08:03:59.019,within sla,2023-04-08 18:08:43.269,within sla,2023-04-08 18:41:52.978,2.0,4.0,ready to use software,tier 1,italy,43.036776,12.678565
in progress,1801,high,phone,feature request,1st line support,connor danielovitch,2023-04-09 11:16:06,2023-04-11 11:16:06,2023-04-09 11:18:06,2023-04-09 11:17:29.546,within sla,,sla violated,,2.0,,custom software development,tier 1,poland,52.536273,19.050639
in progress,1802,low,chat,pricing and licensing,1st line support,nicola wane,2023-04-09 18:24:07,2023-04-10 18:24:07,2023-04-09 18:26:07,2023-04-09 18:24:07.401,within sla,,sla violated,,7.0,,custom software development,tier 1,greece,39.368279,21.863141
closed,1803,low,email,other,1st line support,connor danielovitch,2023-04-09 01:54:49,2023-04-11 01:54:49,2023-04-09 02:54:49,2023-04-09 02:31:16.053,within sla,2023-04-10 22:57:35.709,within sla,2023-04-16 04:28:36.335,1.0,4.0,custom software development,tier 1,spain,39.67337,-4.767726
in progress,1804,medium,chat,product setup,2nd line support,michele whyatt,2023-04-09 17:35:53,2023-04-10 17:35:53,2023-04-09 17:37:53,2023-04-09 17:36:50.882,within sla,,sla violated,,6.0,,ready to use software,tier 2,bulgaria,42.7249925,25.4833039
resolved,1805,low,email,pricing and licensing,1st line support,connor danielovitch,2023-04-09 16:50:10,2023-04-11 16:50:10,2023-04-09 17:50:10,2023-04-09 17:34:55.558,within sla,2023-04-10 08:09:14.993,within sla,2023-04-10 08:09:14.993,1.0,,ready to use software,tier 1,austria,47.6964719,13.3457347
closed,1806,low,email,pricing and licensing,1st line support,kristos westoll,2023-04-09 01:08:39,2023-04-11 01:08:39,2023-04-09 02:08:39,2023-04-09 03:45:29.349,sla violated,2023-04-10 08:28:57.837,within sla,2023-04-13 05:14:08.222,4.0,1.0,custom software development,tier 1,france,48.864716,2.349014
in progress,1807,medium,email,product setup,1st line support,nicola wane,2023-04-10 16:07:38,2023-04-12 16:07:38,2023-04-10 17:07:38,2023-04-10 16:39:13.721,within sla,,sla violated,,10.0,,other,tier 1,france,48.864716,2.349014
resolved,1808,low,chat,feature request,1st line support,kristos westoll,2023-04-10 22:37:41,2023-04-11 22:37:41,2023-04-10 22:39:41,2023-04-10 22:37:48.134,within sla,2023-04-11 11:57:15.881,within sla,2023-04-11 11:57:15.881,60.0,,ready to use software,tier 1,italy,43.036776,12.678565
closed,1809,high,chat,feature request,1st line support,nicola wane,2023-04-10 12:36:32,2023-04-11 12:36:32,2023-04-10 12:38:32,2023-04-10 12:38:22.629,within sla,2023-04-10 12:50:51.911,within sla,2023-04-12 22:16:29.206,3.0,4.0,ready to use software,tier 1,united kingdom,55.378052,-3.435973
closed,1810,medium,chat,product setup,1st line support,sheela cutten,2023-04-10 12:46:24,2023-04-11 12:46:24,2023-04-10 12:48:24,2023-04-10 12:50:10.895,sla violated,2023-04-11 00:11:43.652,within sla,2023-04-14 15:06:51.153,3.0,2.0,training and consulting services,tier 1,bulgaria,42.7249925,25.4833039
closed,1811,medium,email,pricing and licensing,1st line support,kristos westoll,2023-04-10 16:21:25,2023-04-12 16:21:25,2023-04-10 17:21:25,2023-04-10 16:40:07.242,within sla,2023-04-12 07:12:02.988,within sla,2023-04-17 09:26:21.572,1.0,4.0,custom software development,tier 1,italy,43.036776,12.678565
in progress,1812,high,phone,product setup,1st line support,kristos westoll,2023-04-10 19:44:07,2023-04-12 19:44:07,2023-04-10 19:46:07,2023-04-10 19:44:18.651,within sla,,sla violated,,1.0,,ready to use software,tier 1,united kingdom,55.378052,-3.435973
in progress,1813,high,chat,purchasing and invoicing,2nd line support,heather urry,2023-04-10 22:39:59,2023-04-11 22:39:59,2023-04-10 22:41:59,2023-04-10 22:41:25.915,within sla,,sla violated,,60.0,,ready to use software,tier 2,greece,39.368279,21.863141
closed,1814,medium,email,pricing and licensing,1st line support,connor danielovitch,2023-04-11 08:22:38,2023-04-13 08:22:38,2023-04-11 09:22:38,2023-04-11 09:17:03.241,within sla,2023-04-13 10:31:22.837,sla violated,2023-04-14 13:24:10.560,1.0,4.0,other,tier 1,greece,39.368279,21.863141
closed,1815,low,chat,training request,1st line support,sheela cutten,2023-04-11 17:54:18,2023-04-12 17:54:18,2023-04-11 17:56:18,2023-04-11 17:54:44.069,within sla,2023-04-11 19:39:36.310,within sla,2023-04-17 12:34:42.697,4.0,5.0,training and consulting services,tier 1,italy,43.036776,12.678565
closed,1816,low,phone,feature request,1st line support,bernard beckley,2023-04-11 01:46:54,2023-04-13 01:46:54,2023-04-11 01:48:54,2023-04-11 01:50:42.780,sla violated,2023-04-11 05:46:09.190,within sla,2023-04-13 14:50:31.114,5.0,1.0,ready to use software,tier 1,austria,47.6964719,13.3457347
resolved,1817,low,email,purchasing and invoicing,1st line support,bernard beckley,2023-04-11 01:35:11,2023-04-13 01:35:11,2023-04-11 02:35:11,2023-04-11 01:46:52.065,within sla,2023-04-11 22:55:17.358,within sla,2023-04-11 22:55:17.358,2.0,,ready to use software,tier 1,germany,51.165691,10.451526
resolved,1818,low,chat,pricing and licensing,1st line support,sheela cutten,2023-04-11 09:01:04,2023-04-12 09:01:04,2023-04-11 09:03:04,2023-04-11 09:01:56.891,within sla,2023-04-11 11:41:50.880,within sla,2023-04-11 11:41:50.880,4.0,,custom software development,tier 1,united kingdom,55.378052,-3.435973
resolved,1819,low,email,product setup,2nd line support,heather urry,2023-04-11 11:17:59,2023-04-13 11:17:59,2023-04-11 12:17:59,2023-04-11 11:43:48.712,within sla,2023-04-12 05:01:52.062,within sla,2023-04-12 05:01:52.062,3.0,,other,tier 2,republic of ireland,53.094024,-8.019675
resolved,1820,low,email,other,1st line support,bernard beckley,2023-04-11 17:12:33,2023-04-13 17:12:33,2023-04-11 18:12:33,2023-04-11 17:38:03.466,within sla,2023-04-13 04:22:46.522,within sla,2023-04-13 04:22:46.522,5.0,,ready to use software,tier 1,slovenia,46.1491664,14.9860106
in progress,1821,low,email,feature request,2nd line support,heather urry,2023-04-11 17:28:21,2023-04-13 17:28:21,2023-04-11 18:28:21,2023-04-11 17:57:04.242,within sla,,sla violated,,9.0,,custom software development,tier 2,united kingdom,55.378052,-3.435973
closed,1822,low,phone,pricing and licensing,1st line support,nicola wane,2023-04-11 17:15:06,2023-04-13 17:15:06,2023-04-11 17:17:06,2023-04-11 17:16:14.068,within sla,2023-04-13 14:36:20.240,within sla,2023-04-16 23:25:21.555,1.0,3.0,ready to use software,tier 1,italy,43.036776,12.678565
in progress,1823,medium,chat,product setup,1st line support,bernard beckley,2023-04-11 07:16:39,2023-04-12 07:16:39,2023-04-11 07:18:39,2023-04-11 07:18:12.058,within sla,,sla violated,,7.0,,other,tier 1,italy,43.036776,12.678565
resolved,1824,low,chat,purchasing and invoicing,1st line support,kristos westoll,2023-04-11 00:07:48,2023-04-12 00:07:48,2023-04-11 00:09:48,2023-04-11 00:08:37.165,within sla,2023-04-11 11:06:40.521,within sla,2023-04-11 11:06:40.521,4.0,,ready to use software,tier 1,france,48.864716,2.349014
closed,1825,low,email,feature request,1st line support,sheela cutten,2023-04-11 13:44:37,2023-04-13 13:44:37,2023-04-11 14:44:37,2023-04-11 13:49:27.132,within sla,2023-04-12 15:40:00.658,within sla,2023-04-18 01:29:04.747,2.0,4.0,ready to use software,tier 1,poland,52.536273,19.050639
resolved,1826,low,chat,pricing and licensing,2nd line support,michele whyatt,2023-04-12 05:24:50,2023-04-13 05:24:50,2023-04-12 05:26:50,2023-04-12 05:24:52.171,within sla,2023-04-12 06:26:02.502,within sla,2023-04-12 06:26:02.502,4.0,,ready to use software,tier 2,germany,51.165691,10.451526
resolved,1827,medium,email,pricing and licensing,1st line support,connor danielovitch,2023-04-12 02:54:55,2023-04-14 02:54:55,2023-04-12 03:54:55,2023-04-12 09:25:30.528,sla violated,2023-04-14 02:45:59.718,within sla,2023-04-14 02:45:59.718,2.0,,custom software development,tier 1,italy,43.036776,12.678565
closed,1828,low,phone,pricing and licensing,1st line support,kristos westoll,2023-04-12 15:36:14,2023-04-14 15:36:14,2023-04-12 15:38:14,2023-04-12 15:36:18.309,within sla,2023-04-15 13:19:55.038,sla violated,2023-04-17 09:41:54.173,7.0,4.0,custom software development,tier 1,united kingdom,55.378052,-3.435973
resolved,1829,low,chat,feature request,2nd line support,adolpho messingham,2023-04-12 23:18:18,2023-04-13 23:18:18,2023-04-12 23:20:18,2023-04-12 23:22:07.115,sla violated,2023-04-15 21:38:33.388,sla violated,2023-04-15 21:38:33.388,6.0,,ready to use software,tier 2,poland,52.536273,19.050639
closed,1830,high,chat,pricing and licensing,1st line support,bernard beckley,2023-04-12 23:28:44,2023-04-13 23:28:44,2023-04-12 23:30:44,2023-04-12 23:29:29.286,within sla,2023-04-16 14:22:47.527,sla violated,2023-04-17 08:07:14.575,60.0,5.0,ready to use software,tier 1,bulgaria,42.7249925,25.4833039
in progress,1831,medium,email,feature request,1st line support,nicola wane,2023-04-12 08:21:31,2023-04-14 08:21:31,2023-04-12 09:21:31,2023-04-12 08:59:02.751,within sla,,sla violated,,7.0,,custom software development,tier 1,united kingdom,55.378052,-3.435973
in progress,1832,medium,email,feature request,1st line support,connor danielovitch,2023-04-12 08:29:48,2023-04-14 08:29:48,2023-04-12 09:29:48,2023-04-12 09:00:22.868,within sla,,sla violated,,1.0,,custom software development,tier 1,italy,43.036776,12.678565
resolved,1833,high,email,product setup,1st line support,nicola wane,2023-04-12 14:38:23,2023-04-14 14:38:23,2023-04-12 15:38:23,2023-04-12 15:07:18.399,within sla,2023-04-14 04:45:43.148,within sla,2023-04-14 04:45:43.148,1.0,,other,tier 1,republic of ireland,53.094024,-8.019675
resolved,1834,medium,email,purchasing and invoicing,1st line support,nicola wane,2023-04-13 18:53:11,2023-04-15 18:53:11,2023-04-13 19:53:11,2023-04-13 19:51:19.635,within sla,2023-04-14 03:27:43.216,within sla,2023-04-14 03:27:43.216,1.0,,ready to use software,tier 1,united kingdom,55.378052,-3.435973
closed,1835,low,phone,pricing and licensing,1st line support,connor danielovitch,2023-04-13 19:59:15,2023-04-15 19:59:15,2023-04-13 20:01:15,2023-04-13 20:01:13.321,within sla,2023-04-15 15:27:18.168,within sla,2023-04-19 10:09:15.945,2.0,5.0,training and consulting services,tier 1,united kingdom,55.378052,-3.435973
closed,1836,low,chat,product setup,2nd line support,heather urry,2023-04-13 22:21:58,2023-04-14 22:21:58,2023-04-13 22:23:58,2023-04-13 22:23:11.243,within sla,2023-04-14 10:07:33.970,within sla,2023-04-20 04:09:59.004,5.0,3.0,ready to use software,tier 2,czech republic,49.8037633,15.4749126
resolved,1838,low,chat,bug report,1st line support,bernard beckley,2023-04-13 01:38:11,2023-04-14 01:38:11,2023-04-13 01:40:11,2023-04-13 01:39:04.045,within sla,2023-04-13 15:40:36.604,within sla,2023-04-13 15:40:36.604,6.0,,custom software development,tier 1,poland,52.536273,19.050639
closed,1839,low,email,training request,1st line support,nicola wane,2023-04-13 21:53:53,2023-04-15 21:53:53,2023-04-13 22:53:53,2023-04-13 22:01:38.380,within sla,2023-04-14 11:07:40.907,within sla,2023-04-19 17:15:10.178,10.0,5.0,training and consulting services,tier 1,poland,52.536273,19.050639
in progress,1840,low,chat,bug report,1st line support,sheela cutten,2023-04-13 00:46:33,2023-04-14 00:46:33,2023-04-13 00:48:33,2023-04-13 00:47:29.777,within sla,,sla violated,,6.0,,custom software development,tier 1,united kingdom,55.378052,-3.435973
closed,1841,low,email,purchasing and invoicing,1st line support,nicola wane,2023-04-13 03:49:42,2023-04-15 03:49:42,2023-04-13 04:49:42,2023-04-13 03:51:05.711,within sla,2023-04-14 14:03:48.646,within sla,2023-04-16 09:35:22.230,6.0,5.0,training and consulting services,tier 1,slovenia,46.1491664,14.9860106
closed,1842,medium,chat,pricing and licensing,1st line support,nicola wane,2023-04-14 10:24:24,2023-04-15 10:24:24,2023-04-14 10:26:24,2023-04-14 10:25:12.466,within sla,2023-04-15 09:53:26.213,within sla,2023-04-15 10:06:11.334,6.0,3.0,training and consulting services,tier 1,spain,39.67337,-4.767726
resolved,1844,low,chat,feature request,1st line support,kristos westoll,2023-04-14 01:08:18,2023-04-15 01:08:18,2023-04-14 01:10:18,2023-04-14 01:08:36.110,within sla,2023-04-16 12:44:37.851,sla violated,2023-04-16 12:44:37.851,3.0,,custom software development,tier 1,greece,39.368279,21.863141
closed,1845,medium,chat,bug report,1st line support,kristos westoll,2023-04-14 13:04:45,2023-04-15 13:04:45,2023-04-14 13:06:45,2023-04-14 13:10:26.911,sla violated,2023-04-14 15:01:36.222,within sla,2023-04-18 01:11:25.657,60.0,5.0,ready to use software,tier 1,germany,51.165691,10.451526
closed,1846,medium,email,purchasing and invoicing,2nd line support,michele whyatt,2023-04-15 19:19:28,2023-04-17 19:19:28,2023-04-15 20:19:28,2023-04-15 19:25:52.928,within sla,2023-04-16 09:26:26.061,within sla,2023-04-16 13:58:36.418,5.0,4.0,ready to use software,tier 2,bulgaria,42.7249925,25.4833039
closed,1847,medium,email,feature request,2nd line support,adolpho messingham,2023-04-15 19:16:48,2023-04-17 19:16:48,2023-04-15 20:16:48,2023-04-15 19:58:48.300,within sla,2023-04-17 13:55:14.173,within sla,2023-04-20 13:10:26.823,1.0,1.0,ready to use software,tier 2,italy,43.036776,12.678565
in progress,1849,high,chat,pricing and licensing,1st line support,connor danielovitch,2023-04-15 14:20:11,2023-04-16 14:20:11,2023-04-15 14:22:11,2023-04-15 14:23:24.764,sla violated,,sla violated,,4.0,,custom software development,tier 1,italy,43.036776,12.678565
resolved,1858,low,chat,purchasing and invoicing,1st line support,bernard beckley,2023-04-16 08:24:34,2023-04-17 08:24:34,2023-04-16 08:26:34,2023-04-16 08:25:45.449,within sla,2023-04-16 11:39:02.144,within sla,2023-04-16 11:39:02.144,9.0,,ready to use software,tier 1,italy,43.036776,12.678565
in progress,1859,high,chat,other,1st line support,nicola wane,2023-04-16 21:38:28,2023-04-17 21:38:28,2023-04-16 21:40:28,2023-04-16 21:40:14.403,within sla,,sla violated,,3.0,,custom software development,tier 1,bulgaria,42.7249925,25.4833039
resolved,1860,medium,email,bug report,1st line support,nicola wane,2023-04-16 08:37:24,2023-04-18 08:37:24,2023-04-16 09:37:24,2023-04-16 09:12:12.725,within sla,2023-04-18 14:42:57.722,sla violated,2023-04-18 14:42:57.722,1.0,,custom software development,tier 1,germany,51.165691,10.451526
resolved,1861,medium,email,product setup,1st line support,bernard beckley,2023-04-16 08:28:16,2023-04-18 08:28:16,2023-04-16 09:28:16,2023-04-16 12:58:06.634,sla violated,2023-04-16 08:51:36.925,within sla,2023-04-16 08:51:36.925,4.0,,training and consulting services,tier 1,czech republic,49.8037633,15.4749126
resolved,1862,medium,chat,purchasing and invoicing,2nd line support,adolpho messingham,2023-04-16 22:55:36,2023-04-17 22:55:36,2023-04-16 22:57:36,2023-04-16 22:56:49.060,within sla,2023-04-17 08:29:33.606,within sla,2023-04-17 08:29:33.606,4.0,,training and consulting services,tier 2,germany,51.165691,10.451526
closed,1863,high,email,purchasing and invoicing,2nd line support,adolpho messingham,2023-04-17 15:18:43,2023-04-19 15:18:43,2023-04-17 16:18:43,2023-04-17 15:45:07.405,within sla,2023-04-19 11:13:21.997,within sla,2023-04-23 12:00:06.343,1.0,3.0,other,tier 2,italy,43.036776,12.678565
closed,1864,medium,email,feature request,1st line support,bernard beckley,2023-04-17 16:20:30,2023-04-19 16:20:30,2023-04-17 17:20:30,2023-04-17 17:14:28.563,within sla,2023-04-17 20:16:38.485,within sla,2023-04-24 09:26:46.462,2.0,4.0,custom software development,tier 1,germany,51.165691,10.451526
closed,1865,low,chat,feature request,2nd line support,adolpho messingham,2023-04-17 12:14:44,2023-04-18 12:14:44,2023-04-17 12:16:44,2023-04-17 12:16:25.429,within sla,2023-04-17 17:46:34.565,within sla,2023-04-22 19:46:28.047,4.0,4.0,custom software development,tier 2,united kingdom,55.378052,-3.435973
in progress,1866,medium,email,purchasing and invoicing,1st line support,connor danielovitch,2023-04-17 19:02:22,2023-04-19 19:02:22,2023-04-17 20:02:22,2023-04-18 01:19:45.954,sla violated,,sla violated,,7.0,,custom software development,tier 1,slovenia,46.1491664,14.9860106
closed,1867,medium,chat,product setup,1st line support,kristos westoll,2023-04-17 15:48:18,2023-04-18 15:48:18,2023-04-17 15:50:18,2023-04-17 15:48:45.481,within sla,2023-04-18 11:31:09.609,within sla,2023-04-21 01:58:28.038,4.0,1.0,ready to use software,tier 1,poland,52.536273,19.050639
resolved,1868,low,phone,pricing and licensing,1st line support,bernard beckley,2023-04-17 13:01:40,2023-04-19 13:01:40,2023-04-17 13:03:40,2023-04-17 13:01:46.665,within sla,2023-04-22 06:28:14.225,sla violated,2023-04-22 06:28:14.225,2.0,,custom software development,tier 1,austria,47.6964719,13.3457347
